Attendance_Rate,Grades,Distance_to_School,Socioeconomic_Status,Parent_Education_Level,School_Resources,Behavioral_Issues,Loan_Approval_Need,Priority_Score
77,56,25.7,Low,Bachelor's,Low,No,Low,47.93
77,72,29.4,Low,Bachelor's,Low,Yes,Low,43.96
93,86,1.5,Low,Bachelor's,Low,Yes,Low,57.15
93,94,19.8,Low,Bachelor's,Medium,No,Medium,73.52
69,41,30.3,Middle,High School,Low,Yes,Medium,19.07
79,53,29.9,Middle,High School,Low,No,Medium,36.91
60,92,39.6,Low,No High School,Low,No,High,60.84
77,79,32.8,Middle,High School,Low,No,High,46.42
74,79,49.6,High,High School,Low,No,Low,43.84
88,90,14.2,Middle,Postgraduate,Medium,Yes,Low,50.98
82,78,18.0,Middle,High School,Medium,No,High,54.0
50,90,19.2,Low,High School,Medium,No,High,59.08
76,45,23.3,Low,High School,Low,No,Medium,43.47
62,45,41.8,Low,High School,Medium,No,Medium,42.42
90,42,11.8,Low,Bachelor's,Medium,No,Low,52.62
52,46,38.8,High,No High School,Low,No,High,30.12
88,90,20.3,Middle,High School,Medium,No,Medium,60.37
55,47,30.1,Low,Bachelor's,Low,Yes,Medium,27.29
57,81,31.6,Low,High School,Low,Yes,Low,41.34
76,91,18.6,Middle,No High School,Medium,No,High,62.34
58,54,25.6,Low,High School,Low,Yes,Medium,31.44
86,86,20.7,Low,Bachelor's,Medium,No,Low,68.13
82,68,3.5,Middle,No High School,Low,No,Medium,51.45
100,72,21.9,Low,Bachelor's,Medium,No,Medium,66.61
91,91,4.9,Low,Bachelor's,High,No,Medium,73.21
93,69,20.3,Low,High School,Medium,No,Medium,63.47
73,78,29.6,Middle,Postgraduate,Low,Yes,Medium,35.14
64,66,29.0,Low,Bachelor's,Low,No,High,47.7
81,75,33.1,Low,Bachelor's,Low,Yes,Low,45.99
81,68,4.8,Low,Bachelor's,Low,No,Low,56.02
73,77,32.6,Low,No High School,Low,Yes,Low,49.44
90,96,15.6,Low,No High School,Medium,No,Medium,78.84
98,72,20.0,Middle,High School,Medium,No,Medium,56.2
98,100,42.9,Low,No High School,High,No,High,80.11
61,76,0.5,Middle,High School,Low,No,Medium,43.65
88,66,29.4,Low,Bachelor's,Low,No,Medium,54.86
51,94,29.9,Low,Bachelor's,Low,Yes,High,44.91
52,72,19.8,Low,High School,High,No,Low,52.42
98,43,11.9,Low,Bachelor's,Medium,Yes,High,45.41
86,61,11.7,Low,Bachelor's,Medium,No,Medium,59.03
98,41,44.2,Low,High School,High,Yes,Medium,41.38
66,49,22.1,Low,No High School,Medium,No,Medium,52.19
98,44,16.5,Middle,High School,Low,No,Medium,40.35
51,98,22.4,Low,Bachelor's,Low,Yes,Low,47.26
51,49,33.5,Middle,High School,Medium,No,Medium,31.55
77,72,7.3,High,High School,Low,No,Medium,46.17
72,93,22.5,Low,No High School,Low,No,High,66.55
86,77,29.4,Low,Bachelor's,High,No,Medium,63.66
81,52,47.4,Low,Bachelor's,High,No,High,50.36
82,70,12.6,Low,Bachelor's,Medium,Yes,Medium,51.34
50,86,18.0,Low,Postgraduate,Medium,No,Medium,57.6
68,75,19.0,Middle,Bachelor's,Medium,No,Medium,48.5
51,84,30.3,Low,Postgraduate,Low,No,Medium,50.87
93,63,17.8,Low,Postgraduate,Low,No,High,56.32
75,91,26.7,Middle,Bachelor's,Medium,No,Medium,56.23
81,95,39.1,Low,High School,Medium,Yes,Medium,58.39
55,54,35.3,Middle,No High School,Low,No,Low,34.57
81,68,22.3,Low,High School,High,Yes,Medium,49.27
53,47,43.2,Low,High School,Low,No,Low,35.38
60,44,27.9,Low,No High School,Low,No,Medium,42.81
66,68,27.0,Low,No High School,Medium,No,Low,59.3
87,86,1.7,High,Postgraduate,Low,No,Low,55.33
73,43,49.3,Low,Bachelor's,Low,No,Low,39.17
54,51,6.1,High,Bachelor's,Low,No,Low,30.99
83,84,11.6,Low,High School,Medium,Yes,Low,57.34
55,41,2.6,Low,No High School,Low,No,High,42.64
71,66,32.0,Low,No High School,Medium,Yes,Medium,49.5
60,70,11.2,Low,No High School,Medium,No,Medium,59.88
97,90,9.0,High,No High School,Low,Yes,Medium,54.2
65,90,4.4,Low,No High School,High,Yes,Low,60.06
82,75,5.2,Low,Postgraduate,Low,No,High,59.08
58,75,29.2,Low,Bachelor's,High,Yes,Low,44.48
55,65,34.4,Low,No High School,Medium,No,Low,54.06
65,82,19.9,Low,No High School,High,Yes,Medium,55.31
78,66,24.0,Low,High School,Low,No,Low,52.4
52,44,34.3,Middle,No High School,Low,No,Medium,29.77
69,59,0.9,Low,Postgraduate,Low,Yes,Low,39.21
85,50,16.2,Low,High School,Low,No,Medium,48.88
68,49,48.7,Low,High School,Medium,No,Medium,45.13
75,79,29.0,Low,No High School,Low,Yes,Low,51.2
52,77,12.7,High,No High School,Medium,No,Medium,50.13
68,45,26.1,Low,High School,Low,No,Low,40.79
69,47,17.1,Low,Bachelor's,Low,No,Medium,42.79
81,62,26.6,Middle,High School,Medium,No,Low,46.44
56,86,6.3,Low,No High School,Low,Yes,Medium,50.57
90,65,6.6,Low,High School,Medium,No,Medium,62.34
82,85,7.2,High,High School,Medium,No,Low,57.88
89,82,47.0,Middle,Bachelor's,Medium,No,High,54.8
88,51,36.6,High,No High School,Low,Yes,High,33.14
67,65,8.1,Low,No High School,Medium,No,Medium,60.29
89,52,9.4,Low,High School,High,No,Medium,56.56
50,79,36.5,Low,High School,Medium,Yes,Low,42.95
60,57,7.8,Low,High School,Low,No,Medium,45.02
77,64,11.7,Middle,High School,Medium,No,Low,47.53
74,72,48.2,Low,High School,Medium,No,Low,56.18
99,86,12.8,Middle,Bachelor's,Medium,No,High,62.82
72,79,33.1,Middle,High School,Low,No,Medium,44.89
80,99,48.9,Low,Postgraduate,Low,No,Medium,63.71
79,82,18.7,Low,High School,Medium,Yes,Low,54.63
91,51,0.9,Middle,Postgraduate,Low,No,Medium,42.61
84,83,12.2,Low,Bachelor's,Medium,Yes,Low,57.18
56,75,41.5,Middle,No High School,Low,No,Low,42.65
65,87,43.2,Low,Bachelor's,Medium,Yes,Low,49.98
75,43,38.4,Low,No High School,Low,Yes,Medium,35.86
97,44,5.7,Low,Postgraduate,Low,No,Medium,51.13
98,95,39.8,High,High School,High,No,Low,63.42
51,76,45.9,Low,No High School,Medium,No,Medium,56.11
50,47,30.0,Middle,High School,Medium,Yes,Low,20.8
97,81,47.0,Low,Postgraduate,Low,Yes,Medium,51.8
61,88,41.3,Middle,No High School,Medium,No,High,54.37
54,67,33.3,Middle,High School,Medium,No,Medium,39.67
86,70,28.9,Low,Bachelor's,Medium,No,High,60.91
81,97,17.4,Low,Bachelor's,Low,Yes,High,56.36
58,48,8.0,Middle,High School,Medium,No,Medium,35.8
90,93,30.2,Low,No High School,Medium,No,Medium,76.18
84,90,15.9,Middle,No High School,High,No,High,64.61
68,68,43.3,Low,High School,Low,No,Low,48.27
97,53,49.7,Middle,High School,Medium,Yes,Low,35.33
65,79,37.6,Middle,Postgraduate,Medium,No,High,47.34
52,80,4.5,High,No High School,Low,No,Medium,47.15
69,61,14.4,Low,High School,Low,No,Low,48.66
73,50,5.5,Low,No High School,Low,No,Medium,51.35
82,62,32.5,Low,No High School,Low,No,Medium,56.15
73,40,38.3,Low,High School,Low,Yes,Medium,29.07
60,85,46.3,Low,High School,Medium,Yes,Medium,47.37
98,76,21.9,Low,High School,Medium,No,Medium,67.61
57,60,45.1,Middle,Postgraduate,Medium,No,Medium,36.59
85,65,43.9,Low,High School,High,Yes,Medium,47.11
87,85,15.9,Low,Postgraduate,Low,No,Medium,63.51
89,75,43.4,Middle,Bachelor's,Low,No,Medium,47.36
69,93,18.8,Low,High School,Medium,Yes,Medium,56.02
84,62,14.8,Low,Bachelor's,Low,Yes,Low,43.52
97,96,32.5,High,High School,Low,Yes,Medium,49.25
74,40,16.4,High,No High School,Low,Yes,High,26.56
84,93,31.5,Low,Bachelor's,Low,Yes,Low,54.25
74,94,30.5,Low,No High School,Medium,No,Low,71.75
78,90,28.2,Middle,High School,Low,No,Medium,51.58
67,79,19.0,Low,Bachelor's,Low,No,High,54.8
95,54,27.4,Low,No High School,Low,No,Low,57.36
67,60,29.8,Low,No High School,Medium,No,Low,56.12
51,86,27.3,Low,Postgraduate,Low,No,Low,51.97
84,48,22.2,Low,High School,Medium,No,Medium,52.18
65,92,0.7,Low,No High School,Low,No,Low,66.23
90,48,29.4,Middle,High School,Low,No,Low,38.26
85,49,8.4,High,High School,Medium,No,Medium,44.26
82,91,32.1,Low,High School,Low,No,High,62.79
53,96,38.0,Middle,Postgraduate,Low,Yes,Medium,35.5
82,92,25.0,Middle,High School,Low,No,Low,53.9
63,65,27.1,Low,No High School,High,No,Medium,57.19
70,80,47.6,Low,Bachelor's,Low,Yes,High,43.24
97,74,42.4,Middle,Bachelor's,Medium,No,Medium,54.46
69,91,45.7,Low,No High School,Low,No,High,62.53
57,64,40.7,Middle,No High School,Low,No,High,38.63
56,65,5.4,Low,No High School,Low,No,Low,52.26
52,50,7.4,High,High School,High,Yes,Medium,24.86
66,77,26.3,Low,High School,Low,No,Low,52.97
82,41,12.3,Low,High School,Low,No,Medium,44.77
97,46,23.8,Middle,Postgraduate,Low,No,Low,40.12
61,57,19.7,Low,Bachelor's,Low,No,Low,44.13
100,66,27.5,Low,No High School,Low,No,High,63.65
71,73,37.3,Low,No High School,Medium,No,Low,61.77
71,66,35.8,Low,High School,Low,No,High,49.12
95,56,26.1,Low,No High School,Low,No,Low,58.29
79,82,41.1,High,High School,Medium,No,Low,52.39
87,98,21.5,Low,Bachelor's,Low,No,High,68.15
87,83,44.8,Middle,No High School,Low,No,Medium,54.82
94,98,3.6,Middle,High School,Low,Yes,Medium,52.04
100,90,47.7,High,Bachelor's,Medium,No,Low,61.23
57,93,32.7,Low,High School,Low,No,Medium,56.03
76,63,19.0,Middle,No High School,Low,No,Medium,46.1
76,64,9.9,Low,High School,Low,No,Medium,52.41
83,46,24.0,Middle,No High School,Medium,Yes,Medium,35.9
70,91,9.7,Middle,Postgraduate,Low,No,High,51.43
79,45,8.3,Middle,No High School,Medium,Yes,Medium,35.87
82,92,30.9,Low,High School,Medium,No,High,68.31
77,63,26.2,Middle,High School,Medium,Yes,Medium,35.68
96,72,33.5,Low,Postgraduate,Low,No,Medium,59.25
82,88,46.5,Middle,No High School,Low,Yes,Low,45.15
54,68,26.6,High,No High School,Low,No,Low,40.74
97,82,29.0,Low,No High School,Low,No,High,69.0
68,61,4.5,High,No High School,Low,No,Low,44.35
53,65,35.9,Low,No High School,Medium,No,Low,53.31
84,67,20.0,Low,High School,Low,Yes,Low,45.0
98,89,48.8,Low,No High School,Low,No,Low,70.12
66,60,41.2,Low,No High School,Medium,No,High,54.68
93,88,26.1,Middle,Bachelor's,Medium,No,High,60.49
77,46,6.2,Low,No High School,Low,No,Medium,50.88
79,56,43.0,Low,No High School,Medium,No,Low,56.8
78,59,40.0,High,No High School,Low,No,Medium,43.0
95,80,9.2,Middle,Postgraduate,Medium,No,Medium,59.58
55,88,14.8,Middle,No High School,Medium,Yes,High,45.22
84,59,39.7,Middle,Bachelor's,Medium,No,Medium,44.83
90,93,9.3,Middle,Bachelor's,Medium,No,Low,63.27
86,61,45.9,Low,No High School,Low,Yes,Medium,45.61
73,67,21.2,Low,Postgraduate,Low,No,High,51.58
78,100,4.4,Middle,No High School,Medium,No,Medium,67.96
98,79,40.8,Low,No High School,Low,No,Medium,66.92
95,88,18.7,Middle,Bachelor's,Medium,No,Low,61.83
80,46,26.3,Low,Bachelor's,Low,No,Medium,44.77
84,40,5.6,Low,High School,Low,Yes,Medium,35.64
82,71,0.1,Low,No High School,Low,No,Low,62.99
70,52,31.9,Middle,High School,Low,No,Medium,33.61
81,69,25.8,Low,Bachelor's,Medium,Yes,Low,49.32
72,62,29.7,Middle,No High School,Medium,Yes,Low,38.43
82,90,39.7,Low,No High School,Medium,No,Low,71.63
52,98,32.3,Low,No High School,Medium,No,Low,66.57
67,95,8.7,Middle,No High School,Medium,No,Medium,62.23
74,58,18.0,Middle,Bachelor's,Medium,Yes,Low,33.6
91,71,45.3,Low,High School,Low,Yes,Low,46.17
80,69,38.5,Middle,Postgraduate,Medium,No,High,47.75
52,68,27.8,Low,No High School,Low,No,Medium,50.02
89,88,12.8,Low,Bachelor's,Low,No,Medium,65.62
95,84,15.1,Low,No High School,Medium,Yes,Medium,65.59
73,68,36.6,Middle,No High School,Low,No,Medium,45.44
99,69,42.6,Middle,No High School,Low,No,Low,53.04
81,55,33.6,Low,No High School,Low,Yes,High,42.94
96,79,40.5,Middle,High School,Low,No,Low,51.35
71,58,38.3,Low,Postgraduate,High,No,Medium,50.67
72,57,7.5,Low,High School,Low,No,Low,48.65
51,40,21.2,Low,No High School,Low,No,Medium,39.18
76,53,7.6,Low,No High School,Low,No,Medium,53.24
91,90,11.8,Low,No High School,Low,No,Medium,72.12
51,86,43.5,Low,High School,High,No,Low,55.35
75,89,23.6,Middle,Bachelor's,Low,Yes,Medium,40.74
66,41,26.8,Low,Postgraduate,Medium,No,High,43.52
89,93,8.9,Low,No High School,Medium,No,High,78.01
82,67,15.6,Low,High School,High,No,Low,59.84
58,88,11.5,Low,High School,Medium,Yes,Low,51.45
92,89,10.3,Low,High School,Medium,Yes,High,62.17
97,69,31.9,Middle,High School,Low,No,Medium,48.51
88,77,12.8,Low,High School,Low,No,Medium,60.92
78,90,31.6,Middle,High School,Low,No,High,51.24
91,43,2.9,Middle,No High School,Medium,No,High,49.21
75,40,7.1,Low,Bachelor's,Low,No,Medium,42.79
84,47,13.7,Middle,No High School,Low,Yes,Medium,32.63
99,68,29.9,Low,High School,Low,Yes,Low,48.91
74,94,33.8,Middle,High School,Low,No,Medium,51.42
73,78,22.1,Low,High School,Low,Yes,Low,45.89
62,42,22.3,Low,Postgraduate,High,Yes,Low,33.17
56,71,36.2,Low,Bachelor's,Low,No,Low,46.58
85,49,0.8,Low,Bachelor's,Medium,No,Low,55.02
94,49,17.1,Low,High School,Medium,Yes,Medium,46.09
69,58,40.9,Low,Bachelor's,Low,No,Medium,44.81
50,85,30.2,Low,High School,Low,Yes,Medium,40.98
57,73,16.9,High,Bachelor's,Low,Yes,Low,29.61
95,99,45.3,Middle,High School,Low,No,High,58.57
65,72,38.6,Low,Postgraduate,Medium,Yes,Low,44.44
63,62,13.2,Low,Postgraduate,Low,Yes,Medium,37.38
61,94,32.3,Middle,Bachelor's,Low,No,High,47.67
100,67,29.8,Middle,No High School,Medium,No,Medium,58.82
72,71,20.1,Middle,No High School,High,No,Medium,52.99
64,89,18.3,Low,Bachelor's,Medium,No,High,62.97
77,46,17.2,Low,No High School,Medium,No,Low,54.78
83,68,30.9,Low,Bachelor's,Medium,No,Medium,59.01
51,47,22.1,Low,High School,Low,No,Medium,36.89
81,40,41.6,Middle,High School,Medium,No,Low,36.14
72,96,33.5,Middle,Postgraduate,Low,Yes,High,41.65
71,94,3.5,Low,High School,Medium,Yes,High,58.55
100,42,32.0,Middle,High School,Medium,Yes,Medium,33.6
74,63,13.6,Low,High School,Low,No,Low,51.04
71,62,29.6,Low,No High School,Medium,Yes,Low,48.14
71,98,34.0,Low,Bachelor's,High,Yes,Medium,57.1
98,100,11.5,High,No High School,Low,No,Low,68.25
91,47,22.8,Low,Postgraduate,Medium,No,Medium,53.82
55,93,9.5,High,Bachelor's,Low,No,Medium,47.75
64,96,2.6,Middle,No High School,Medium,Yes,Medium,52.34
92,86,18.9,Low,Bachelor's,Low,No,Medium,65.11
86,76,18.1,Low,High School,Medium,No,Medium,64.39
82,42,49.8,Middle,No High School,High,No,Low,41.42
57,90,22.3,Low,Postgraduate,Medium,No,Low,60.87
93,72,16.7,High,No High School,Medium,No,Medium,60.03
93,67,29.0,High,No High School,Low,No,Medium,51.8
54,86,4.4,Low,High School,High,No,Medium,60.16
88,47,48.1,Low,High School,Low,Yes,Medium,35.39
53,73,31.7,High,High School,Medium,No,High,41.93
55,74,37.7,Middle,Bachelor's,Low,No,Low,37.33
94,71,8.5,Low,High School,Low,No,Low,60.75
81,63,20.5,Low,High School,Medium,No,Low,57.45
79,53,21.1,Low,No High School,Low,No,Medium,52.79
96,71,41.1,High,No High School,Low,No,Medium,53.09
84,95,0.1,Middle,No High School,Low,Yes,High,53.19
89,85,15.0,Middle,No High School,Low,Yes,Medium,49.2
65,82,49.1,Low,High School,Low,Yes,High,42.39
62,55,23.7,Low,No High School,Low,No,High,48.23
99,43,19.1,Middle,No High School,Low,No,Low,44.99
91,91,6.0,Low,No High School,Low,Yes,Medium,63.1
79,76,48.7,Low,Postgraduate,Medium,No,Medium,59.23
68,93,1.0,Low,Postgraduate,Low,No,Low,62.5
66,60,36.9,Middle,High School,High,No,Medium,40.11
68,53,38.4,High,Postgraduate,Medium,No,Medium,37.76
77,70,12.2,Low,Bachelor's,Low,No,Low,54.88
75,94,33.6,Low,High School,Medium,Yes,Medium,56.74
86,87,4.6,Middle,No High School,Medium,No,Medium,65.14
75,57,12.9,High,Bachelor's,High,No,Low,44.01
72,46,39.4,Low,Bachelor's,Medium,Yes,Medium,36.06
58,49,43.2,Low,High School,Low,Yes,Low,27.68
61,46,30.4,Low,Bachelor's,Medium,No,Medium,43.66
50,72,25.3,Middle,High School,Medium,No,Low,41.27
